Date,StartTime,EndTime,SessionTitle,Speakers,Summary,ConfCode,Link,Location
August 20,8:00 AM,6:00 PM,SESSION TITLE,"Speaker 1, Speaker 2, Speaker 3",Here is a summary of the session. It is a good session.,RTZW,https://swana.org/safety,TBD
August 21,10:00 AM,10:30 AM,Another Session 1,Speaker 5,Yet another summary of a session,LGB,https://wastecon.org,Room 1
August 22,10:00 AM,10:30 AM,Another Session 1,Speaker 5,Yet another summary of a session,all,#,Room 2
August 23,11:00 AM,11:30 AM,Another Session 2,Speaker 6,Yet another summary of a session,all,#,Room 3
August 24,12:00 PM,12:30 PM,Another Session 3,Speaker 7,Yet another summary of a session,all,#,Room 4
August 25,1:00 PM,1:30 PM,Another Session 4,Speaker 8,Yet another summary of a session,all,#,Room 5
August 20,2:00 PM,2:30 PM,Another Session 5,Speaker 9,Yet another summary of a session,all,#,Room 6
August 20,8:00 AM,6:00 PM,SESSION TITLE,"Speaker 1, Speaker 2, Speaker 3",Here is a summary of the session. It is a good session.,RTZW,https://swana.org/safety,TBD
August 21,10:00 AM,10:30 AM,Another Session 1,Speaker 5,Yet another summary of a session,LGB,https://wastecon.org,Room 1
August 22,10:00 AM,10:30 AM,Another Session 1,Speaker 5,Yet another summary of a session,all,#,Room 2
August 23,11:00 AM,11:30 AM,Another Session 2,Speaker 6,Yet another summary of a session,all,#,Room 3
August 24,12:00 PM,12:30 PM,Another Session 3,Speaker 7,Yet another summary of a session,all,#,Room 4
August 25,1:00 PM,1:30 PM,Another Session 4,Speaker 8,Yet another summary of a session,all,#,Room 5
