Name (required),Description,Start Time (required),End Time (required),Location,Session Tracks,Filters,Speaker IDs,Link URLs,Session ID
Registration and Information Desk Open,.,4/3/16 14:00,4/3/16 17:00,.,"YP,all", ,,,RaIDO040316YPall040316200PM
Registration and Information Desk Open,.,4/4/16 7:00,4/4/16 18:00,.,"YP,all", ,,,RaIDO040416YPall040416700AM
SWANA Training Courses,.,4/4/16 8:00,4/4/16 17:30,See Course For Location,"TRNG,all", ,,,STC040416TRNGall040416800AM
SWANA Training Course: LFG Operations & Maintenance,.,4/4/16 8:00,4/4/16 17:30,Room 11,"TRNG,all", ,,,STCLOM040416TRNGall040416800AM
SWANA Training Course: Managing Transfer Station Systems,.,4/4/16 8:00,4/4/16 17:30,Room 5,"TRNG,all", ,,,STCMTSS040416TRNGall040416800AM
SWANA Training Course: Manager of Landfill Operations,3-Day Training Course: April 4 - 6,4/4/16 8:00,4/4/16 17:30,Room 5,"TRNG,all", ,,,STCMoLO040416TRNGall040416800AM
SWANA Training Course: Managing Composting Programs,.,4/4/16 8:00,4/4/16 17:30,Room 4,"TRNG,all", ,,,STCMCP040416TRNGall040416800AM
SWANA Training Course: Managing Recycling Systems,.,4/4/16 8:00,4/4/16 17:30,Room 10,"TRNG,all", ,,,STCMRS040416TRNGall040416800AM
Shotgun Start for Annual SWANApalooza Golf Tournament,"<a href=""https://swana.org/portals/0/events/swanapalooza/2016/LFG2016GolfSponsorForm.pdf"">Sponsorships Available!</a>",4/4/16 9:00,4/4/16 9:00,Patriots Point,all, ,,,SSfASGT040416all040416900AM
Landfill Management Technical Division Awards Committee,.,4/4/16 11:00,4/4/16 12:00,Room 1,all, ,,,LMTDAC040416all0404161100AM
Landfill Gas and Biogas Technical Division Extraction and Control Committee,.,4/4/16 11:00,4/4/16 12:00,Room 12,all, ,,,LGaBTDEaCC040416all0404161100AM
Landfill Gas and Biogas Field Practices Committee,.,4/4/16 11:00,4/4/16 12:00,Ideation Room,all, ,,,LGaBFPC040416all0404161100AM
Landfill Management Technical Division Rules and Regulations Committee,.,4/4/16 12:00,4/4/16 14:00,Room 1,all, ,,,LMTDRaRC040416all0404161200PM
Landfill Gas and Biogas Technical Division Utilization Committee,.,4/4/16 12:00,4/4/16 13:00,Ideation Room,all, ,,,LGaBTDUC040416all0404161200PM
Landfill Gas and Biogas Technical Division Rules and Regulations/Advocacy Committees combined,discuss status of NSPS and other rules proposed by the U.S. Environmental Protection Agency,4/4/16 12:00,4/4/16 14:00,Room 13,all, ,,,LGaBTDRaRCc040416all0404161200PM
Landfill Management Technical Division Long Term Management Committee,.,4/4/16 13:00,4/4/16 14:00,Room 1,all, ,,,LMTDLTMC040416all040416100PM
Landfill Gas and Biogas Biogas Committee ,.,4/4/16 13:00,4/4/16 14:00,Ideation Room,all, ,,,LGaBBC040416all040416100PM
Landfill Management Technical Division Leachate Committee,.,4/4/16 14:00,4/4/16 15:00,Room 1,all, ,,,LMTDLC040416all040416200PM
Landfill Management Technical Division,.,4/4/16 15:00,4/4/16 16:00,Room 1,all, ,,,LMTD040416all040416300PM
"Combined meeting for the Recycling and Special Waste Technical Division, Collection and Transfer Technical Division and Communication, Education and Marketing Technical Division",.,4/4/16 15:30,4/4/16 17:30,Room 14,all, ,,,CmftRaSWTDCaTTDaCEaMTD040416all040416330PM
Landfill Gas and Biogas Technical Division,.,4/4/16 16:00,4/4/16 17:30,Room 13,all, ,,,LGaBTD040416all040416400PM
Opening Reception and Trade Show,.,4/4/16 18:00,4/4/16 20:30,Exhibit Hall,all, ,,,ORaTS040416all040416600PM
SWANApalooza and Fleet Management Expo Exhibit Hall Open,.,4/4/16 18:00,4/4/16 20:30,Exhibit Hall,"YP,all", ,,,SaFMEEHO040416YPall040416600PM
Registration and Information Desk Open,.,4/5/16 7:00,4/5/16 16:00,.,"YP,all", ,,,RaIDO040516YPall040516700AM
Continental Breakfast,.,4/5/16 7:00,4/5/16 8:45,Exhibit Hall,all, ,,,CB040516all040516700AM
SWANApalooza and Fleet Management Expo Exhibit Hall Open,.,4/5/16 7:30,4/5/16 16:00,Exhibit Hall,"YP,all", ,,,SaFMEEHO040516YPall040516730AM
SWANA Training Courses,.,4/5/16 8:00,4/5/16 17:30,See Course For Location,"TRNG,all", ,,,STC040516TRNGall040516800AM
SWANA Training Course: LFG Operations & Maintenance,.,4/5/16 8:00,4/5/16 17:30,Room 11,"TRNG,all", ,,,STCLOM040516TRNGall040516800AM
SWANA Training Course: Managing Transfer Station Systems,.,4/5/16 8:00,4/5/16 17:30,Room 5,"TRNG,all", ,,,STCMTSS040516TRNGall040516800AM
SWANA Training Course: Manager of Landfill Operations,3-Day Training Course: April 4 - 6,4/5/16 8:00,4/5/16 17:30,Room 8 & 9,"TRNG,all", ,,,STCMoLO040516TRNGall040516800AM
SWANA Training Course: Managing Composting Programs,.,4/5/16 8:00,4/5/16 17:30,Room 4,"TRNG,all", ,,,STCMCP040516TRNGall040516800AM
SWANA Training Course: Managing Recycling Systems,.,4/5/16 8:00,4/5/16 17:30,Room 10,"TRNG,all", ,,,STCMRS040516TRNGall040516800AM
SWANA Training Course: Managing Collection Systems,.,4/5/16 8:00,4/5/16 17:30,Room 14,"TRNG,all", ,,,STCMCS040516TRNGall040516800AM
