First Name (required),Last Name (required),Title,Company,Description,Image URL,Website,Twitter Handle,Facebook URL,LinkedIn URL,Session IDs,Attendee ID,Speaker ID
Timothy,Mitchell,P.E. / Project Manager,"Civil & Environmental Consultants, Inc. ","<strong>BIO: </strong> Tim Mitchell has been with Civil &amp; Environmental Consultants, Inc. since interning with them in 2006. In his time there, he has been involved with various solid waste management projects including residual and municipal waste landfill design, permitting and construction; transfer station design and permitting; and general engineering support for waste facilities. He was born and raised in Pittsburgh, Pennsylvania. He received a bachelor of science degree in civil engineering from the University of Pittsburgh in 2006. He received a master of science degree also from the University of Pittsburgh in 2011. He is a professional engineer registered in the state of Pennsylvania. Also, he is the Vice Director for SWANA's Landfill Management Technical Division. ",http://www.swana.org/Portals/0/events/speakers/TimothyMitchell.png,,,,,L1040516YPLF040516930AM,,TMitchell
Mathy,Stanislaus,Assistant Administrator for the Office of Land and Emergency Management,U.S. Environmental Protection Agency,"<strong>BIO: </strong> Mathy Stanislaus was nominated by President Barack Obama for the position of Assistant Administrator in EPA's Office of Land and Emergency Management (OLEM) on March 31, 2009, and began in his service on June 8, 2009, after confirmation by the U.S. Senate.<br> As Assistant Administrator for OLEM, he leads EPAâ€™s programs that revitalizes communities through the cleanup and redevelopment of contaminated sites under Superfund, Brownfields and Resources Conservation and Recovery Act (RCRA) programs, oversees other federal agencies cleanup of contaminated properties and advances hazardous and solid waste materials management under RCRA, chemical plant safety, oil spill prevention, underground storage tank program, and emergency response. He regularly testifies in Congress regarding aspects of these programs, including rules and budget. Â <br> His official EPA bio can be found at <a href=""http://www.epa.gov/aboutepa/mathy-stanislaus-assistant-administrator-office-land-and-emergency-management"">http://www.epa.gov/aboutepa/mathy-stanislaus-assistant-administrator-office-land-and-emergency-management</a>Â  <br> Â  ",http://www.swana.org/Portals/0/events/speakers/MathyStanislaus.png,,,,,KECtCAtMtUFWG040516all0405161030AM,,MStanislaus
Matt,Cotton,Owner,"Integrated Waste Management Consulting, LLC","<strong>BIO: </strong> <p style=""margin-bottom: 6pt;""><span class=""googqs-tidbit1""></span>Matthew Cotton is the owner of <a href=""http://www.mattcotton.com/"">Integrated Waste Management Consulting, LLC</a> (Nevada City, California). He has more than 30 years of experience in solid waste management planning, permitting, policy, regulatory compliance and composting. He has worked as a consultant, educator, researcher and advocate for new and expanded organics recycling and composting programs in California and beyond. In more than 30 years of work, Matt has completed hundreds of significant solid waste projects, including permitting and assisting in the development of some of the major composting facilities in California. His company serves public, private and institutional clients. Matt has served on the <a href=""http://compostingcouncil.org/"">U.S. Composting Council</a> <strong>Board of Directors</strong> since<strong> </strong>1999 and was elected<strong> president of the Board</strong> in<strong> </strong>2006, 2007 and 2008. He also serves on the Board of Directors of <a href=""http://www.cawrecycles.org/"">Californians Against Waste</a>. He has published research on compost odors, compost use, climate impacts, compostable plastics and compost facility infrastructure. He also teaches compost facility operator training and related courses for the U.S. Composting Council, SWANA, the California Resource Recovery Association and others.<span class=""bodytext2""></span> ",http://www.swana.org/Portals/0/events/speakers/MattCotton.png,,,,,KIoOWitBWtMO040516all0405161230PM,,MCotton
Pat,Sullivan,Senior Vice President,SCS Engineers California,"<strong>BIO: </strong> Patrick Sullivan has degree from Harvard University and over 26 years of experience in solid waste consulting. He is a Senior Vice President and Managing Director for SCSâ€™s Consulting and Engineering Operations in the Southwestern U.S. He is the Principal-in-Charge for air quality, greenhouse gas, landfill gas, and renewable energy projects for solid waste facilities. Pat is the Vice Director of the SWANA LFG/Biogas Division. He has published over 100 technical papers in industry publications and presented at over 50 conferences, including those sponsored by SWANA, NW&amp;RA, EREF, USCC, and A&amp;WMA. ",http://www.swana.org/Portals/0/events/speakers/PatSullivan.png,,,,,KIoOWitBWtMO040516all0405161230PM,,PSullivan
Susan,Robinson,Federal Public Affairs Director,Waste Management,"<strong>BIO: </strong> Susan Robinson is public affairs director for Waste Management. She has worked in the environmental industry for 30 years in roles that span the public sector, non-profit, consultancy, and more than 20 years in the private sector. Her experience includes global commodity marketing, research and analysis of industry trends and 20 years managing municipal solid waste and recycling contracts. Susan has worked for Waste Management since 1999, with much of her time interfacing with local governments and implementing new municipal programs. She currently works with Waste Managementâ€™s recycling, innovative technology and fleet teams, supporting the companyâ€™s transformation from disposal to a materials management company. She is responsible for the companyâ€™s public policy efforts to support this transition. Susan is on the Board of Directors of Ameripen and the American Biogas Council, served on the Washington State Governorâ€™s Beyond Waste Working Group and is past president of the Washington State Recycling Association. She attended Stanford University and the University of Washington and holds degrees in applied earth sciences and English. Her Masterâ€™s degree work in environmental studies is from the Evergreen State College. ",http://www.swana.org/Portals/0/events/speakers/SusanRobinson.png,,,,,KIoOWitBWtMO040516all0405161230PM,,SRobinson
Bryan,Staley,President and CEO,EREF,"<strong>BIO: </strong> Dr. Bryan Staley currently serves as president and CEO of the Environmental Research and Education Foundation. Â He joined the EREF four years ago, where he started as vice-president of environmental programs, and has 18 years Â of experience in the environmental engineering field. Â He is a technical expert in sustainable solid waste management issues and obtained a Ph.D. in solid waste research at North Carolina State University. Â He also is Â a licensed professional engineer. Dr. Staley has held key positions in consulting firms as a project manager and vice-president of engineering, where he managed projects ranging from solid waste management, wastewater treatment system design, to retail/commercial land development and large-scale livestock operations. ",http://www.swana.org/Portals/0/events/speakers/BryanStaley.png,,,,,IoFWoL040516LF040516230PM,,BStaley
Jay,Warzinski,Corporate Director of Landfill Operations,Advanced Disposal,"<strong>BIO: </strong> Jay Warzinski has 30 years of experience in landfill construction, management and compliance. He has held his current role since 2013 and is responsible for providing technical support and direction for landfill operations and development projects including all landfill gas and landfill gas-to-energy projects for the companyâ€™s 39 active landfills. He assists in planning for capital expenditure projects including liner construction, closure construction, gas system permitting and construction, infrastructure, borrow development and major permitting. He also manages environmental compliance and coordinates environmental due diligence process of potential acquisitions. Prior to joining Advanced Disposal, Jay served as senior regional engineer for Veolia Environmental Services Solid Waste, Inc. Jay holds a Bachelorâ€™s degree in civil engineering from Marquette University and is a Certified Landfill Manager in Wisconsin and Missouri. ",http://www.swana.org/Portals/0/events/speakers/JayWarzinski.png,,,,,IoFWoL040516LF040516230PM,,JWarzinski
Kathleen,Salyer,Deputy Director,Office of Resource Conservation and Recovery,"<strong>BIO: </strong> Kathleen Salyer is the deputy director of the Office of Resource Conservation and Recovery within the Office of Land and Emergency Management at the U.S. Environmental Protection Agency (EPA), a position she has held since January 2015. The office is responsible for promoting resource conservation through sustainable materials management, ensuring safe management of solid and hazardous waste and cleaning up environmental contamination at hazardous waste management facilities. Prior to her current position, Kathleen was an assistant director of the Superfund Program in U.S .EPA Region 9 in San Francisco. She has more than 18 years of experience cleaning up contaminated sites. Kathleen has a Bachelorâ€™s degree in geology from Whitman College and a Masterâ€™s degree in environmental public policy from University of Maryland, College Park. ",http://www.swana.org/Portals/0/events/speakers/KathleenSalyer.png,,,,,SOaWZWFESMMP040516RTZW040516230PM,,KSalyer
Mark,Yamauchi,Sustainability Strategy Manager,Toyota Motor Sales USA,"<strong>BIO: </strong> Mark Yamauchi leads the efforts to incorporate sustainability into all aspects of the Real Estate and Facilities Department and heads up strategic initiatives crossing inter- and intra-departmental organizations that focus on sustainability and operational efficiencies. He was responsible for implementing the program that brought Toyotaâ€™s sales and distribution national headquarters campus to zero-waste-to-landfill status This program has been recognized by being awarded California Integrated Waste Management Boardâ€™s 2006 Waste Reduction Awards Program WRAP of The Year and 2007 Governorâ€™s Environmental and Economic Leadership Award. Mark also provided technical assistance to the Yellowstone National Park team that achieved Gold LEED certification for the new Old Faithful Visitorâ€™s Education Center. Most recently, he was responsible for the implementation of the stationary hydrogen fuel cell project at Toyotaâ€™s headquarters campus. This 1.11 MW direct hydrogen peaking shaving fuel cell is the first of its kind in the world to be fed directly from a hydrogen pipeline. He now is working to shape sustainability integration for the development of the new Toyota North American Headquarters in Plano, Texas. With more than 25 years of experience in real estate and facilities and a LEED Accredited Professional since 2002, he has provided advice on sustainability to many organizations including non-profits, major corporations, and governments on the municipal, national and international level Mark also sits on the Advisory Boards of the UCLA Engineering Extension global sustainability and recycling and MSW management programs. ",http://www.swana.org/Portals/0/events/speakers/MarkYamauchi.png,,,,,SOaWZWFSPEWWAR040516RTZW040516230PM,,MYamauchi
Patrick,Sullivan,Senior Vice President,SCS Engineers,"<strong>BIO: </strong> Patrick Sullivan has degree from Harvard University and more than 26 years of experience in solid waste consulting. He is a senior vice president and managing director for SCSâ€™s Consulting and Engineering Operations in the Southwestern U.S. He is the principal-in-charge for air quality, greenhouse gas, landfill gas and renewable energy projects for solid waste facilities. Pat is the vice director of the SWANA LFG and /Biogas Technical Division He has published more than 100 technical papers in industry publications and presented at more than 50 conferences, including those sponsored by SWANA, NW&amp;RA, EREF, USCC and A&amp;WMA. ",http://www.swana.org/Portals/0/events/speakers/PatrickSullivan.png,,,,,RaRUIftNNRfL040516LGB040516230PM,,PSullivan
