Date,StartTime,EndTime,SessionTitle,Speakers,Summary,ConfCode,Link,Location
`April 3,2:00 p.m. ,5:00 p.m.,Registration and Information Desk Open,.,.,YP all,#,.
`April 4,7:00 a.m.,6:00 p.m.,Registration and Information Desk Open,.,.,YP all,#,.
`April 4,8:00 a.m.,5:30 p.m.,SWANA Training Courses,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,See Course For Location
`April 4,8:00 a.m.,5:30 p.m.,SWANA Training Course: LFG Operations & Maintenance,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 11
`April 4,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Transfer Station Systems,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 5
`April 4,8:00 a.m.,5:30 p.m.,SWANA Training Course: Manager of Landfill Operations,.,3-Day Training Course: April 4 - 6,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 5
`April 4,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Composting Programs,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 4
`April 4,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Recycling Systems,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 10
`April 4,9:00 a.m.,9:00 a.m.,Shotgun Start for Annual SWANApalooza Golf Tournament,.,"<a href=""https://swana.org/portals/0/events/swanapalooza/2016/LFG2016GolfSponsorForm.pdf"">Sponsorships Available!</a>",all,https://swana.org/portals/0/events/swanapalooza/2016/LFG2016GolfRegForm.pdf,Patriots Point
`April 4,11:00 a.m. ,12:00 p.m. ,Landfill Management Technical Division Awards Committee,.,.,all,#,Room 1
`April 4,11:00 a.m. ,12:00 p.m. ,Landfill Gas and Biogas Technical Division Extraction and Control Committee,.,.,all,#,Room 12
`April 4,11:00 a.m. ,12:00 p.m. ,Landfill Gas and Biogas Field Practices Committee,.,.,all,#,Ideation Room
`April 4,12:00 p.m. ,2:00 p.m. ,Landfill Management Technical Division Rules and Regulations Committee,.,.,all,#,Room 1
`April 4,12:00 p.m. ,1:00 p.m. ,Landfill Gas and Biogas Technical Division Utilization Committee,.,.,all,#,Ideation Room
`April 4,12:00 p.m. ,2:00 p.m.,Landfill Gas and Biogas Technical Division Rules and Regulations/Advocacy Committees combined,.,discuss status of NSPS and other rules proposed by the U.S. Environmental Protection Agency,all,#,Room 13
`April 4,1:00 p.m. ,2:00 p.m.,Landfill Management Technical Division Long Term Management Committee,.,.,all,#,Room 1
`April 4,1:00 p.m. ,2:00 p.m.,Landfill Gas and Biogas Biogas Committee ,.,.,all,#,Ideation Room
`April 4,2:00 p.m. ,3:00 p.m.,Landfill Management Technical Division Leachate Committee,.,.,all,#,Room 1
`April 4,3:00 p.m. ,4:00 p.m.,Landfill Management Technical Division,.,.,all,#,Room 1
`April 4,3:30 p.m. ,5:30 p.m.,"Combined meeting for the Recycling and Special Waste Technical Division, Collection and Transfer Technical Division and Communication, Education and Marketing Technical Division",.,.,all,#,Room 14
`April 4,4:00 p.m. ,5:30 p.m. ,Landfill Gas and Biogas Technical Division,.,.,all,#,Room 13
`April 4,6:00 p.m. ,8:30 p.m. ,Opening Reception and Trade Show,.,.,all,#,Exhibit Hall
`April 4,6:00 p.m. ,8:30 p.m. ,SWANApalooza and Fleet Management Expo Exhibit Hall Open,.,.,YP all,#,Exhibit Hall
`April 5,7:00 a.m.,4:00 p.m.,Registration and Information Desk Open,.,.,YP all,#,.
`April 5,7:00 a.m.,8:45 a.m.,Continental Breakfast,.,.,all,#,Exhibit Hall
`April 5,7:30 a.m.,4:00 p.m.,SWANApalooza and Fleet Management Expo Exhibit Hall Open,.,.,YP all,#,Exhibit Hall
`April 5,8:00 a.m.,5:30 p.m.,SWANA Training Courses,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,See Course For Location
`April 5,8:00 a.m.,5:30 p.m.,SWANA Training Course: LFG Operations & Maintenance,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 11
`April 5,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Transfer Station Systems,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 5
`April 5,8:00 a.m.,5:30 p.m.,SWANA Training Course: Manager of Landfill Operations,.,3-Day Training Course: April 4 - 6,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 8 & 9
`April 5,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Composting Programs,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 4
`April 5,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Recycling Systems,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 10
`April 5,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Collection Systems,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 14
`April 5,8:30 a.m.,8:55 a.m.,Welcome and Opening Remarks,.,.,all,#,Ballroom C
`April 5,8:55 a.m.,9:30 a.m.,Accolades,.,Technical Divisions present awards to individuals who have distinguished themselves throughout their waste management careers.,all,#,Ballroom C
`April 5,9:30 a.m.,10:30 a.m.,Landfill 101,"Timothy D. Mitchell, P.E. / Project Manager, Civil & Environmental Consultants, Inc. ",This session will be geared towards young professionals or people new to the solid waste industry.  Basic concepts related to landfill management will be presented/discussed to provide the audience with a general familiarity of current practices.  ,YP LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/Landfill101.aspx,Room 1
`April 5,10:30 a.m.,11:45 a.m.,Keynote - EPA's Call to Collective Action to Meet the U.S. Food Waste Goal,"Mathy Stanislaus, Assistant Administrator for the Office of Land and Emergency Management, U.S. Environmental Protection Agency","The first ever U.S. official food waste reduction goal has resulted in a confluence of leaders and organizations in the food industry becoming a part of a historic environmental change. This challenge reaches far beyond the U.S. borders, because U.S. food comes from many countries and is packaged, transported and stored in ways that can either help or hinder the recovery of food products. Agencies driving the food waste goal will talk about how they define food waste, the baselines they use to measure food waste and what you can do to help find innovative approaches to achieve the goal of a 50 percent reduction by 2030.",all,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/USFoodWasteGoal.aspx,Ballroom C
`April 5,11:45 a.m.,12:30 p.m.,Lunch,.,"""Attendee Toast"" Sponsored by QED <img class=""sponsors"" src=""/portals/0/events/sponsors/qed.jpg""/>",all,#,Exhibit Hall
`April 5,12:30 p.m.,1:45 p.m.,Keynote - In or Out: What is the Best Way to Manage Organics?,"Matt Cotton, Owner, Integrated Waste Management Consulting, LLC; Pat Sullivan, Senior Vice President, SCS Engineers California; Susan Robinson, Federal Public Affairs Director, Waste Management","Join this conversational point/counterpoint about different ways to process food waste and other organics to help determine what would work best for your community: anaerobic digestion, composting or some other another alternative.",all,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WhatistheBestWaytoManageOrganics.aspx,Ballroom C
`April 5,1:45 p.m.,2:30 p.m.,Break,.,.,all,#,Exhibit Hall
`April 5,2:30 p.m.,3:30 p.m.,Impact of Food Waste on Landfills,"Bryan Staley, Ph.D. P.E., President and CEO, EREF; Jay Warzinski, Corporate Director of Landfill Operations, Advanced Disposal",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ImpactofFoodWasteonLandfills.aspx,Ballroom A
`April 5,2:30 p.m.,3:30 p.m.,SMM Overview and Where Zero Waste Fits<br />U.S. EPA Sustainable Materials Management Program,"Kathleen Salyer, Deputy Director, Office of Resource Conservation and Recovery",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/USEPASustainableMaterialsManagementProgram.aspx,Ballroom B
`April 5,2:30 p.m.,3:30 p.m.,SMM Overview and Where Zero Waste Fits<br />Toyota Sustainability Program - EPA Waste Wise Award Recipient,"Mark Yamauchi, Sustainability Strategy Manager, Toyota Motor Sales USA",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ToyotaSustainabilityProgramEPAWasteWiseAwardRecipient.aspx,Ballroom B
`April 5,2:30 p.m.,3:30 p.m.,Rules and Regulations Update<br />Industry Impacts from the New NSPS Rule for Landfills,"Patrick Sullivan, Senior Vice President, SCS Engineers; Amy Banister, Senior Director of Air Programs, Waste Management; Niki Wuestenberg, Manager - Air Compliance, Republic Services",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/IndustryImpactsfromtheNewNSPSRuleforLandfills.aspx,Ballroom C
`April 5,3:30 p.m.,3:40 p.m.,Session Change,.,.,all,#,.
`April 5,3:40 p.m.,4:40 p.m.,Industrial Waste<br />Mixed Ash Landfill Emerging Issues,"Ivan Cooper, Principal, Civil and Environmental Consultants, Inc.",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/MixedAshLandfillEmergingIssues.aspx,Ballroom A
`April 5,3:40 p.m.,4:40 p.m.,Design and Operational Considerations for Managing E&P Oil Field Waste in Municipal Solid Waste Landfills,"Jeffrey Reed, Vice President, SCS Engineers; Marco Elizondo, Director of Engineering and Compliance, WCA Waste Corporation",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/DesignandOperationalConsiderationsforManagingEandPOilFieldWasteinMunicipalSolidWasteLandfills.aspx,Ballroom A
`April 5,3:40 p.m.,4:40 p.m.,Organics Processing Case Studies<br />Charleston County Food Waste Program ,"Harvey Gibson, Bees Ferry Facilities Manager, Charleston County Environmental Management Department","Note: Tour 1 on Thursday, April 7, will go to the Bees Ferry Road Landfill",RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CharlestonCountyFoodWasteProgram.aspx,Ballroom B
`April 5,3:40 p.m.,4:40 p.m.,Organics Processing Case Studies<br />Anaerobic Digestion of Organics from Mixed Waste,"Jim Miller, CEO, J.R. Miller and Associates",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/IntegratingDifferentADTechnologiestoIncreaseProcessingEfficiency.aspx,Ballroom B
`April 5,3:40 p.m.,4:40 p.m.,Organics Processing Case Studies<br />Insect Farming _ Converting Recycled Food into Renewable Animal Feed Ingredients and Organic Fertilizer,"Victoria Leung, Sales and Marketing Manager, Enterra Feed Corporation",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CreatingNaturalFertilizerforOrganicAgriculture.aspx,Ballroom B
`April 5,3:40 p.m.,5:10 p.m.,Anaerobic Digester - Energy Projects<br />Options for Using Biogas Generated from Food Waste Digestion at Wastewater Treatment Plants,"Mark McDannel, Los Angeles County Sanitation Districts",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/OptionsforUsingBiogasGeneratedfromFoodWasteDigestionatWastewaterTreatmentPlants.aspx,Ballroom C
`April 5,3:40 p.m.,5:10 p.m.,"Anaerobic Digester - Energy Projects<br />Disney Digester, Orlando, Florida","Brandon Moffatt, Senior VP - Energy, Harvest Power",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/DisneyDigester.aspx,Ballroom C
`April 5,3:40 p.m.,5:10 p.m.,Anaerobic Digester - Energy Projects<br />San Jose/Monterey Food Waste Digesters,"Eric Herbert, CEO, Zero Waste",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SanJoseMontereyFoodWasteDigesters.aspx,Ballroom C
`April 5,3:45 p.m.,5:15 p.m.,YP Mid-Year Meeting,.,"Head over to the YP meeting for a chance to meet other YPs and participate in a group discussion about the upcoming year, share your ideas and feedback, while also receiving updates from the Steering Committee.",YP all,#,Room 1
`April 5,4:40 p.m.,4:50 p.m.,Session Change,.,.,RTZW LF,#,.
`April 5,4:50 p.m.,5:50 p.m.,Long Term Care Policy Discussion<br />Caring for Subtitle D Landfills Following the Post-Closure Care Period,"Thabet Tolaymat, Ph.D., EPA Office of Research and Development; Jeremy O'Brien, P.E., BCEE, Director of Applied Research, SWANA; Robert Gardner, P.E., BCEE, Senior Vice President, SCS Engineers",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CaringforSubtitleDLandfillsFollowingthePostClosureCarePeriod.aspx,Ballroom A
`April 5,4:50 p.m.,5:50 p.m.,Role of Reduction and Reuse: Beyond Recycling<br /> Incorporating Reduce and Reuse Strategies,"MaryEllen Etienne, CEO, Reuse Institute",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BeyondRecyclingIncorporatingReduceandReuseStrategies.aspx,Ballroom B
`April 5,4:50 p.m.,5:50 p.m.,Role of Reduction and Reuse<br /> The Center for Hard to Recycle Materials (CHARM),"Peggy Ratcliffe, Executive Director, LiveThrive Atlanta",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TheCenterforHardtoRecycleMaterials.aspx,Ballroom B
`April 5,4:50 p.m.,5:50 p.m.,Role of Reduction and Reuse<br />Tales of the Two R's from the Tarheel State,"Heather Cashwell, Outreach and Education Coordinator, NCDEQ - Division of Environmental Assistance & Customer Service",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CreativeCommunityInvolvement.aspx,Ballroom B
`April 5,6:30 p.m.,9:00 p.m.,YP Networking Happy Hour,.,Kick back and relax with fellow YPs then head out to a local hotspot to grab a few drinks and make new friends. ,YP all,#,Embassy Suites Bar
`April 5,5:20 p.m.,5:50 p.m.,Agricultural Waste Digesters<br />Waste to Worth: Next Generation Manure Technology,"Gus Simmons, Director of BioEnergy, Loyd Ray Farms",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WastetoWorthNextGenerationManureTechnology.aspx,Ballroom C 
`April 5,5:20 p.m.,5:50 p.m.,Agricultural Waste Digesters<br />Rutland Farms Dairy ,"Bill Jorgenson, Managing Director, Vanguard Renewables",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/RutlandFarmsDairy.aspx,Ballroom C 
`April 6,6:15 a.m.,7:30 a.m.,5K Fun Run/Walk for Charity,.,"<p><em>Race Begins Promptly at 7 a.m.</em></p><p> SWANA is thrilled to invite you to participate in the 1st Annual SWANApalooza 5K Fun Run/Walk with proceeds supporting the charity, Lowcountry Food Bank. </p><p> Lowcountry Food Bank is a non-profit organization that serves the 10 coastal counties of South Carolina through distribution centers in Charleston, Yemassee and Myrtle Beach. With your support, thousands of less fortunate people will gain access to nutritious food and hope for a better future. SWANA is proud to partner with Lowcountry Food Bank at SWANApalooza 2016 in Charleston, South Carolina and we look forward to you joining us on April 6th, 2016 for our 5K Fun Run-Walk!</p><p>Sponsored by Morrow Renewables</p><img class=""sponsors"" style=""width: 35%;"" src=""/portals/0/events/sponsors/morrow.jpg""/>",all,https://swana.org/Events/SWANApalooza/5kFunRunWalk.aspx,Convention Center Entrance - Near the entrance flags
`April 6,7:00 a.m.,4:00 p.m.,Registration and Information Desk Open,.,.,YP all,#,.
`April 6,7:30 a.m.,8:00 a.m.,Certification Exam Check-in,.,.,all,#,Room 5
`April 6,7:30 a.m.,8:00 a.m.,Continental Breakfast,.,.,all,#,Exhibit Hall
`April 6,8:00 a.m.,4:00 p.m.,SWANApalooza and Fleet Management Expo Exhibit Hall Open,.,.,YP all,#,Exhibit Hall
`April 6,8:00 a.m.,5:30 p.m.,SWANA Training Courses,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,See Course For Location
`April 6,8:00 a.m.,5:30 p.m.,SWANA Training Course: Manager of Landfill Operations,.,3-Day Training Course: April 4 - 6,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 8 & 9
`April 6,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Composting Programs,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 4
`April 6,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Recycling Systems,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 10
`April 6,8:00 a.m.,5:30 p.m.,SWANA Training Course: Managing Collection Systems,.,.,TRNG all,https://swana.org/Education/TrainingCenters/SpringTrainingCenter.aspx,Room 14
`April 6,8:30 a.m.,9:30 a.m.,Keynote - Implementing The Paradigm Shift: Transitioning to a Circular Economy in North America,"Ted Michaels, Partner, AJW, Inc.; Allison Yeckel, Sales Engineer, Alter NRG Corp.; Mark Hammond, Executive Director/CEO, Solid Waste Authority of Palm Beach County Florida","The circular economy, a new approach to addressing sustainability challenges, is gaining momentum in North America. Progressive companies are forming innovative cross-sector partnerships, adopting zero waste to landfill policies, and taking the lead on influencing policy. The U.S. EPA is promoting resource efficiency and sustainable materials management. Local governments, as always, are looking to manage waste in an economic and environmentally sustainable manner. But real barriers remain, such as struggling markets for secondary recovered materials and the difficulty in bringing innovative technologies to the market. In this session, you will hear about what it will take to move from a linear economy to a circular economy and how you can help foster this transition. ",all,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ImplementingTheParadigmShiftTransitioningtoaCircularEconomyinNorthAmerica.aspx,Ballroom C
`April 6,9:30 a.m.,10:30 a.m.,Introduction to SWANA's Technical Divisions,"V. Nicole Gallagher Burkhardt, P.E. / Landfill Gas Engineer, Delaware Solid Waste Authority",.,YP all,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/IntroductiontoSWANAsTechnicalDivisions.aspx,Room 1
`April 6,9:30 a.m.,10:30 a.m.,Break,.,.,all,#,Exhibit Hall
`April 6,10:30 a.m.,11:30 a.m.,Artificial Turf Cover Systems<br />Artificial Turf Case Study: Berkeley County,"Mark Schlievert, Director of Solid Waste, Berkeley County -  South Carolina",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ArtificialTurfCaseStudyBerkeleyCounty.aspx,Ballroom A
`April 6,10:30 a.m.,11:30 a.m.,Artificial Turf Cover Systems<br />Overview and Case Histories of an Engineered Turf Closure Solution at MSW Landfills,"Chris Eichelberger, Vice President - Technical Marketing, Agru America",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/OverviewandCaseHistoriesofanEngineeredTurfClosureSolutionatMSWLandfills.aspx,Ballroom A
`April 6,10:30 a.m.,11:30 a.m.,Artificial Turf Cover Systems<br />Regulatory Perspective of Artificial Turf Systems as Final Cover Systems,"Juli Blalock, Environmental Engineer - Department of Health and Environmental Control, Bureau of Land and Waste Management",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/RegulatoryPerspectiveofArtificialTurfSystemsasFinalCoverSystems.aspx,Ballroom A
`April 6,10:30 a.m.,11:30 a.m.,International Food Waste and Recycling<br />The Organized Research Center of Excellence,"Sahadat Hossain, Director, Solid Waste Institute for Sustainability",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TheOrganizedResearchCenterofExcellence.aspx,Ballroom B
`April 6,10:30 a.m.,11:30 a.m.,"International Food Waste and Recycling: Surrey Biofuel Facility, British Columbia, Canada","Paul Oostelbos, Director International Business Development, Orgaworld ",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SurreyBiofuelFacilityBritishColumbiaCanada.aspx,Ballroom B
`April 6,10:30 a.m.,11:30 a.m.,High BTU,"David Cox, Director of Operations & General Counsel, Coalition For Renewable Natural Gas; Harrison Clay, President, Clean Energy Renewable Fuels; Evan Williams, President, Cambrian Energy",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/HighBTU.aspx,Ballroom C
